Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,stage1_emotion,stage1_confidence,stage1_reasoning,stage1_raw
43,"Ugh, can you believe that guy!",Ross,disgust,negative,3,5,5,15,"00:06:26,177","00:06:28,178",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
44,Yeah. I really like his glasses.,Phoebe,neutral,neutral,3,6,5,15,"00:06:28,346","00:06:30,889",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
45,Ohh!,Phoebe,surprise,positive,4,0,4,14,"00:08:42,271","00:08:43,271",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
46,What?,Monica,neutral,neutral,4,1,4,14,"0:08:43,439","0:08:43,951",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
47,It kicked! I think the baby kicked!,Phoebe,surprise,positive,4,2,4,14,"0:08:43,951","0:08:45,488",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
48,Oh my God!,Monica,surprise,positive,4,3,4,14,"00:08:45,608","00:08:46,900",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
49,"Oh no wait, oh no, the elastic on my underwear busted.",Phoebe,neutral,neutral,4,4,4,14,"00:08:47,068","00:08:50,820",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
50,Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,Joey,fear,negative,4,5,4,14,"00:08:52,532","00:08:58,328",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
51,"Oh wait, Joey, you cant go like that! You stink!",Monica,disgust,negative,4,6,4,14,"00:08:58,496","00:09:00,830",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
52,"Look, I know I feel asleep before I could shower and now I dont have time!",Joey,anger,negative,4,7,4,14,"00:09:00,998","00:09:03,750",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
53,"Theyre just ten blocks away, if I run, I can make it.",Joey,neutral,neutral,4,8,4,14,"00:09:03,918","00:09:06,419",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
54,Youre coming on to the entire room!  Im Chandler.,Chandler,anger,negative,5,0,4,20,"00:14:37,960","00:14:50,179",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
55,Hi.,Chandler,neutral,neutral,5,1,4,20,"0:14:48,095","0:14:48,947",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
56,Hi.,Marjorie,neutral,neutral,5,2,4,20,"0:14:48,947","0:14:50,229",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
57,You mind if I,Chandler,neutral,neutral,5,3,4,20,"0:14:50,347","0:14:50,769",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
58,"No, please.",Marjorie,neutral,neutral,5,4,4,20,"0:14:50,769","0:14:52,353",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
59,"So uh, what are you in for?",Chandler,neutral,neutral,5,5,4,20,"00:14:52,474","00:14:53,892",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
60,I talk in my sleep.,Marjorie,neutral,neutral,5,6,4,20,"00:14:54,059","00:14:55,560",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
61,"What a coincidence, I listen in my sleep.",Chandler,neutral,neutral,5,7,4,20,"00:14:54,059","00:14:57,896",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
62,So why dont you give me your number?,Joey,neutral,neutral,5,8,4,20,"00:15:00,024","00:15:02,275",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
63,Previously on Friends.,Joey,neutral,neutral,6,0,3,16,"00:00:02,711","00:00:05,796",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
64,I dont know exactly. Its-its sorta like wrestling.,Monica,neutral,neutral,6,1,3,16,"00:03:23,661","00:03:26,246",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
65,Oh?!,Phoebe,surprise,negative,6,2,3,16,"00:03:26,456","00:03:28,707",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
66,"Yeah, but without the costumes.",Monica,neutral,neutral,7,0,3,24,"00:03:26,456","00:03:28,707",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
67,Oh.,Phoebe,neutral,neutral,7,1,3,24,"00:03:28,875","00:03:30,459",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
68,"And its not fake, its totally brutal.",Joey,neutral,neutral,7,2,3,24,"00:03:30,627","00:03:32,878",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
69,"Yeah, its two guys in a ring, and the rules are: Theyre",Chandler,neutral,neutral,7,3,3,24,"00:03:33,129","00:03:37,341",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
70,"So you can like, bite, and pull peoples hair and stuff?",Monica,surprise,negative,7,4,3,24,"00:03:38,218","00:03:40,761",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
71,"Yeah, anything goes, except ah, eye gouging and fish hooking.",Ross,neutral,neutral,7,5,3,24,"00:03:41,012","00:03:44,264",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
72,Whats fish hooking?,Monica,surprise,negative,7,6,3,24,"00:03:44,474","00:03:46,924",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
73,"Huh, whats fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",Ross,neutral,neutral,7,7,3,24,"00:03:44,474","00:03:54,399",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
74,"What? My hands are totally clean, I just gave the duck a bath.",Joey,neutral,neutral,7,8,3,24,"00:03:55,068","00:03:58,654",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
75,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",Jade,sadness,negative,8,0,2,5,"00:16:47,631","00:16:57,223",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
76,"Well, that makes me feel so good.",Chandler,joy,positive,8,1,2,5,"00:16:59,810","00:17:02,437",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
77,It was just so awkward and bumpy.,Jade,neutral,neutral,8,2,2,5,"0:17:03,272","0:17:05,704",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
78,Bumpy?,Ross,surprise,negative,8,3,2,5,"0:17:05,704","0:17:05,961",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
79,"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",Chandler,neutral,neutral,8,4,2,5,"00:17:07,818","00:17:12,155",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
80,And uh maybe you have to get used to it.,Chandler,neutral,neutral,8,5,2,5,"00:17:12,948","00:17:14,574",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
81,"Well there really wasn't much time to get used to it, you know what I mean?",Jade,joy,positive,8,6,2,5,"00:17:14,742","00:17:18,244",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
82,Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,Phoebe,fear,negative,9,0,6,18,"00:05:02,927","00:05:08,724",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
83,"Oh well, its not so bad.",Monica,neutral,neutral,9,1,6,18,"00:05:08,891","00:05:10,684",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
84,"Yeah, most of the damage is pretty mostly contained in the bedrooms.",Fireman #1,sadness,negative,9,2,6,18,"00:05:10,852","00:05:12,978",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
85,Oh!,Phoebe,surprise,negative,9,3,6,18,"0:05:13,146","0:05:13,939",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
86,My God!,Rachel,surprise,negative,9,4,6,18,"0:05:13,939","0:05:14,203",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
87,"Hey buddy, do you think I can borrow your uniform this Thursday?",Joey,neutral,neutral,9,5,6,18,"00:05:14,355","00:05:17,556",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
88,Excuse me?,Fireman #1,surprise,positive,9,6,6,18,"00:05:18,443","00:05:21,361",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
89,Joey! Hes working!  You would look,Monica,anger,negative,9,7,6,18,"00:05:18,443","00:05:24,031",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
90,"Oh, how bad is it?",Joey,sadness,negative,9,8,6,18,"00:05:25,199","00:05:28,618",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
91,"Oh, its bad. Its really bad. The only thing in there that isnt burned is an ass. Which I do",Phoebe,sadness,negative,9,9,6,18,"00:05:25,199","00:05:34,416",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
92,Hows your room Rach?,Chandler,neutral,neutral,9,10,6,18,"00:05:34,625","00:05:36,835",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
93,Everythings ruined. My bed. My clothes. Look at my favorite blue sweater.,Rachel,sadness,negative,9,11,6,18,"00:05:37,003","00:05:39,546",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
94,Isnt that mine?,Monica,neutral,neutral,9,12,6,18,"00:05:39,714","00:05:40,756",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
95,Fine! Im sorry for your loss!,Rachel,anger,negative,9,13,6,18,"00:05:41,841","00:05:44,426",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
96,"So uh, youre not gonna be able to live here for a while, you ladies have a place to stay?",Fireman #1,neutral,neutral,9,14,6,18,"00:05:46,220","00:05:51,767",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
97,"Wow! Oh-okay, look pal, I am",Rachel,joy,positive,9,15,6,18,"00:05:51,934","00:05:58,398",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
98,"Yes, they can stay with us.",Monica,neutral,neutral,9,16,6,18,"00:06:04,155","00:06:06,490",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
99,Have you figured out what started the fire Mr. Fireman?,Chandler,neutral,neutral,9,17,6,18,"00:06:06,657","00:06:09,284",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
100,Theres just so much pressure.,Joey,anger,negative,10,0,6,20,"00:05:56,272","00:05:58,065",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
101,"I mean no offense, but what you guys do is very different.",Joey,neutral,neutral,10,1,6,20,"00:05:58,232","00:06:00,984",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
102,I dont know if youd understand.,Joey,neutral,neutral,10,2,6,20,"00:06:01,152","00:06:02,903",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
103,"Yeah, none of us have to deal with pressure at our jobs.",Ross,neutral,neutral,10,3,6,20,"00:06:03,071","00:06:06,365",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
104,"Well Phoebe, we gotta do something!",Rachel,sadness,negative,11,0,7,24,"00:09:52,967","00:09:54,718",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
106,I mean theres no way Joeys gonna make it in time.,Rachel,fear,negative,11,1,7,24,"0:09:54,969","0:09:57,431",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
107,So Im gonna go through the hotel and see if theres any other weddings going on.,Rachel,neutral,neutral,11,2,7,24,"0:09:57,431","0:09:59,578",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
108,Okay. Oh but dont tell them Monicas pregnant because they frown on that.,Phoebe,neutral,neutral,11,3,7,24,"00:09:59,765","00:10:04,269",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
109,Okay.,Rachel,neutral,neutral,11,4,7,24,"00:10:04,437","00:10:05,770",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
111,"Whats all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",Ross,anger,negative,12,0,6,3,"00:12:31,167","00:12:39,966",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
112,"Ross, we can handle this.",Monica,neutral,neutral,12,1,6,3,"00:12:41,510","00:12:44,637",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
113,"Well, apparently not, and I cant just stand by and watch two people I care about very much be hurt over something that is so silly.",Ross,sadness,negative,12,2,6,3,"00:12:44,805","00:12:53,271",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
114,"I mean, enough of the silliness!",Ross,anger,negative,12,3,6,3,"0:12:55,691","0:12:58,073",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
115,"Well, why dont you tell her to stop being silly!",Chandler,anger,negative,12,4,6,3,"0:12:58,073","0:13:00,407",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
116,Okay-okay!,Ross,anger,negative,12,5,6,3,"00:13:02,923","00:13:04,741",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
117,"Two very good points, look Ive known you both a long time, and Ive never seen either of you one/millionth as happy as youve been since youve got together.",Ross,sadness,negative,12,6,6,3,"00:13:06,243","00:13:19,464",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
118,Do you really want to throw that all away over a room?,Ross,sadness,negative,12,7,6,3,"00:13:20,633","00:13:24,385",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
119,That is so silly.,Ross,joy,positive,12,8,6,3,"00:13:24,553","00:13:26,846",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
120,"Now wh-what is more important, love or silliness?",Ross,neutral,neutral,12,9,6,3,"00:13:27,389","00:13:32,310",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
121,"Well, we are fond of the silliness, but we also have a soft spot for the love.",Chandler,neutral,neutral,12,10,6,3,"00:13:33,938","00:13:39,400",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
122,Love is the best medicine.,Monica,joy,positive,12,11,6,3,"0:13:40,319","0:13:41,911",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
123,Thats laughter.,Chandler,joy,positive,12,12,6,3,"0:13:41,911","0:13:42,880",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
124,Why do you do it?,Monica,neutral,neutral,12,13,6,3,"0:13:42,988","0:13:43,572",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
125,I dont know.,Chandler,neutral,neutral,12,14,6,3,"0:13:43,572","0:13:44,954",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
126,"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",Ross,neutral,neutral,12,15,6,3,"00:13:49,537","00:13:53,873",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
127,"Yeah, I do.",Chandler,neutral,neutral,12,16,6,3,"00:13:55,125","00:13:56,543",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
128,"And Mon, you wanna live with Chandler, dont ya?",Ross,neutral,neutral,12,17,6,3,"00:13:56,710","00:13:59,045",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
129,Yes.,Monica,neutral,neutral,12,18,6,3,"00:13:59,255","00:14:00,380",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
130,Good! A verbal contract is binding in the state of New York!,Ross,joy,positive,12,19,6,3,"00:14:00,548","00:14:04,217",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
131,Oh.,Roger,neutral,neutral,13,0,1,13,"00:19:48,687","00:19:49,854",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
132,"But I don't. Me, Phoebe.",Phoebe,neutral,neutral,13,1,1,13,"00:19:50,022","00:19:52,648",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
133,"Well, I'm not I'm not at all surprised they feel that way.",Roger,neutral,neutral,13,2,1,13,"00:19:54,860","00:19:57,111",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
134,"You're not? See, that's why you're so great!",Phoebe,surprise,positive,13,3,1,13,"00:19:57,321","00:19:59,739",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
135,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",Roger,neutral,neutral,13,4,1,13,"00:20:00,115","00:20:06,662",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
136,"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",Roger,anger,negative,13,5,1,13,"00:20:06,872","00:20:20,384",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
137,Define me!,Roger,anger,negative,13,6,1,13,"00:20:21,845","00:20:26,307",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
138,"Love me, I need love!",Roger,anger,negative,13,7,1,13,"00:20:26,516","00:20:29,310",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
140,Have you really done this before?,Phoebe,surprise,positive,14,0,6,4,"0:21:26,952","0:21:28,474",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
141,Yeah!,Joey,joy,positive,14,1,6,4,"0:21:28,474","0:21:29,058",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
142,Yeah!,Joey,joy,positive,14,2,6,4,"0:21:29,058","0:21:29,440",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
143,Yeah!,Joey,joy,positive,14,3,6,4,"0:21:29,440","0:21:29,806",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
144,"You just take a big, big swing.",Joey,neutral,neutral,14,4,6,4,"00:21:29,830","00:21:32,456",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
145,"Now, dont hold back.",Joey,neutral,neutral,14,5,6,4,"00:21:32,624","00:21:34,542",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
147,Hey!,Phoebe,joy,positive,14,6,6,4,"0:21:36,878","0:21:37,590",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
148,Hey-hey-hey!,Joey,joy,positive,14,7,6,4,"0:21:37,590","0:21:39,055",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
149,What are you doing?,Chandler,neutral,neutral,14,8,6,4,"00:21:39,339","00:21:40,381",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
150,Were just celebrating that Joey got his health insurance back.,Phoebe,joy,positive,14,9,6,4,"00:21:40,549","00:21:44,093",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
151,"Oh, all right.",Chandler,neutral,neutral,14,10,6,4,"00:21:45,137","00:21:46,804",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
152,"Yeah! Sure! Yep!  Oh, y'know what? If I heard a shot right now, I'd throw my body on you.",Phoebe,joy,positive,15,0,5,20,"00:13:12,500","00:13:18,505",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
153,Oh yeah? Well maybe you and I should take a walk through a bad neighborhood.,Gary,joy,positive,15,1,5,20,"00:13:18,576","00:13:21,341",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
154,Okay!,Phoebe,joy,positive,15,2,5,20,"00:13:21,592","00:13:22,884",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
156,Bye!,Phoebe,neutral,neutral,15,3,5,20,"0:13:24,386","0:13:24,929",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
157,Bye!,Joey,neutral,neutral,15,4,5,20,"0:13:24,929","0:13:26,873",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
158,Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,Joey,anger,negative,15,5,5,20,"00:13:30,810","00:13:36,439",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
159,"Hey, Joey, could you pass the cheese?",Monica,neutral,neutral,16,0,4,10,"00:11:36,362","00:11:38,405",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
161,"Listen uh, Id prefer it if you didnt call me Joey.",Joey,neutral,neutral,16,1,4,10,"00:11:40,574","00:11:42,283",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
162,"Since I dont know anyone here, I thought itd be cool to try out a cool work nickname.",Joey,neutral,neutral,16,2,4,10,"00:11:42,535","00:11:45,912",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
163,"Hey, dragon! Heres your tips from Monday and Tuesday.",A Waiter,neutral,neutral,16,3,4,10,"00:11:46,080","00:11:52,377",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
164,Theres like-theres like 300 bucks in this one!,Joey,surprise,negative,16,4,4,10,"00:11:53,504","00:11:55,296",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
165,"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.",The Waiter,neutral,neutral,16,5,4,10,"00:11:55,548","00:12:01,594",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
167,Could the waiters gather around to hear tonights specials?,Monica,neutral,neutral,16,6,4,10,"00:12:04,056","00:12:06,975",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
168,"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bagWhy is nobody writing these down?",Monica,neutral,neutral,16,7,4,10,"00:12:07,143","00:12:13,273",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
169,Because we can remember them.,The Waiter,neutral,neutral,16,8,4,10,"00:12:13,524","00:12:14,816",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
170,Because your all gonna make up fake specials and make me cook them like you did the other night?,Monica,anger,negative,16,9,4,10,"00:12:15,151","00:12:19,195",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
171,Hey. When you guys were kids and you played,Ross,neutral,neutral,17,0,3,7,"00:01:58,868","00:02:01,995",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
172,I was always Joanne.,Monica,neutral,neutral,17,1,3,7,"00:02:02,205","00:02:05,874",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
173,"Question. Was ah, Egg the Gellers! the war cry of your neighbourhood?",Joey,neutral,neutral,17,2,3,7,"00:02:06,042","00:02:10,295",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
174,Ewww! Oh! Its the Mattress King!,Phoebe,disgust,negative,17,3,3,7,"00:02:12,257","00:02:14,049",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
176,Dont look honey. Change the channel! Change the channel!,Chandler,disgust,negative,17,4,3,7,"00:02:14,217","00:02:15,884",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
177,"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",Janice,joy,positive,17,5,3,7,"00:02:16,052","00:02:21,974",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
178,What a wank!,Chandler,anger,negative,17,6,3,7,"00:02:40,994","00:02:42,870",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
179,"Oh, I cannot believe hes using our divorce to sell mattresses.",Janice,anger,negative,17,7,3,7,"00:02:43,037","00:02:47,082",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
180,I know!,Monica,anger,negative,17,8,3,7,"00:02:47,250","00:02:51,420",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
181,"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",Monica,anger,negative,17,9,3,7,"00:02:51,588","00:02:53,922",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
182,And Im appalled for you by the way.,Monica,anger,negative,17,10,3,7,"00:02:56,050","00:02:58,886",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
183,"You had to do it, didnt you? You couldnt just leave it alone.",Rachel,sadness,negative,17,11,3,7,"00:13:45,741","00:13:47,909",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
184,Four percent. Okay. I tip more than that when theres a bug in my food.,Ross,disgust,negative,17,12,3,7,"00:13:48,077","00:13:52,580",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
185,"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",Rachel,anger,negative,17,13,3,7,"00:13:52,748","00:13:58,628",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
186,"Yeah, Im gonna go to a doctor who went to school in a mini-mall.",Ross,disgust,negative,17,14,3,7,"00:13:58,796","00:14:02,882",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
187,"Hey Pheebs, what are you doing?",Ross,neutral,neutral,17,15,3,7,"00:14:07,221","00:14:09,222",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
188,"Im, Im freaking out!",Phoebe,fear,negative,17,16,3,7,"00:14:09,390","00:14:12,225",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
189,Monica kinda trusted me with something and she shouldnt have!,Phoebe,fear,negative,17,17,3,7,"00:14:14,270","00:14:18,147",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
190,"All right, I havent lived here in a while, so I have to ask you something.",Phoebe,neutral,neutral,17,18,3,7,"00:14:18,315","00:14:21,276",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
191,Does Monica still turn on the lights in her bedroom?,Phoebe,neutral,neutral,17,19,3,7,"00:14:21,443","00:14:23,820",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
192,Um. yeah.,Rachel,neutral,neutral,17,20,3,7,"0:14:25,614","0:14:26,636",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
193,I am,Phoebe,neutral,neutral,17,21,3,7,"0:14:26,636","0:14:27,962",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
194,"All right, look, heres the bottom line Ross, this is fixable, if we act fast, okay.",Rachel,neutral,neutral,17,22,3,7,"00:14:30,536","00:14:35,164",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
195,"So, Ill invite him to brunch tomorrow and you can make nice.",Rachel,neutral,neutral,17,23,3,7,"00:14:35,332","00:14:38,126",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
196,"Look, honey, I have tried to make nice, it doesnt work.",Ross,anger,negative,17,24,3,7,"00:14:38,294","00:14:41,546",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
